answererId,askerId,content,position,primaryTag,secondaryTag,sessionId,status,timeAddressed,timeAssigned,timeEntered,wasNotified,taNew,studentNew,location,answererLocation,isVirtual,startTime,endTime
5VJn6zDOgScP7zCHW6yfkLYZqB73,PrXUvlg4n1hXLmzJd4FzjXSKFoa2,Help,1,2Vo5Jjwc0FurdXvzdLSA,9o3OcF1qa3YtYg0ISc1a,M4Wv6qHGSna9ATGOv8kT,resolved,2025-09-18 12:37:22.800000+00:00,2025-09-18 12:37:17.986000+00:00,2025-09-18 12:36:12.489000+00:00,True,False,True,In the back,,,,
pOJ0XRvm27bZgUfGjTXjcP9KlYf1,rsf34exdyQWrkNNqjG2MJnZVLAE3,Try catch is producing an error,1,me4eTShdH5VGg3E51491,d1cx6rcTf9Bjca2Tr69p,YsT3ZlPtYqwbAgEEKVZ0,assigned,,2025-09-18 02:50:55.312000+00:00,2025-09-18 02:47:55.390000+00:00,True,,,By the front door wearing a blue shirt,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
iAvksXzjFlWwALbIWFeF29GRYa53,3wCwGWgCWBWH758Bgu97xxUnSJF3,test!,1,me4eTShdH5VGg3E51491,d1cx6rcTf9Bjca2Tr69p,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:47:29.622000+00:00,2025-09-18 02:40:34.022000+00:00,2025-09-18 02:39:44.427000+00:00,True,,,with a rubiks cube on desk,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
iAvksXzjFlWwALbIWFeF29GRYa53,rsf34exdyQWrkNNqjG2MJnZVLAE3,Implementing the scanner is producing an error,2,me4eTShdH5VGg3E51491,d1cx6rcTf9Bjca2Tr69p,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:39:05.565000+00:00,2025-09-18 02:36:09.895000+00:00,2025-09-18 02:27:58.593000+00:00,True,,,King first floor,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
iAvksXzjFlWwALbIWFeF29GRYa53,j8M85vGJQfWMNq2FWWv9KI1wjxh2,??? so many,1,lUgXYmy0M06bHHAqiTkB,BvdCjo4UXcMJspEcSi7w,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:34:36.580000+00:00,2025-09-18 02:29:29.873000+00:00,2025-09-18 02:26:42.366000+00:00,True,,,white shirt baks,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
pOJ0XRvm27bZgUfGjTXjcP9KlYf1,cGcsMP3uTBQWgdiKlOfqfjvZAbY2,"User inputs
",1,Y2PmVkd7F78KX3IkvVdJ,zQCKB7N7VnpNXB4yxSvf,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:24:26.766000+00:00,2025-09-18 02:22:23.923000+00:00,2025-09-18 02:21:55.106000+00:00,False,,,Up front,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
pOJ0XRvm27bZgUfGjTXjcP9KlYf1,sir6wK4xJXYOtQxc0vikFYTsAuG3,"looping through arrays
",1,Y2PmVkd7F78KX3IkvVdJ,PVz6gnOV9ybm50VoUVOi,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:20:16.395000+00:00,2025-09-18 02:17:11.709000+00:00,2025-09-18 02:17:08.619000+00:00,False,,,.,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
pOJ0XRvm27bZgUfGjTXjcP9KlYf1,j8M85vGJQfWMNq2FWWv9KI1wjxh2,vs code de;ting our code,1,lUgXYmy0M06bHHAqiTkB,BvdCjo4UXcMJspEcSi7w,YsT3ZlPtYqwbAgEEKVZ0,retracted,,2025-09-18 02:10:51.027000+00:00,2025-09-18 02:10:21.100000+00:00,False,,,white shirt baks,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
pOJ0XRvm27bZgUfGjTXjcP9KlYf1,sir6wK4xJXYOtQxc0vikFYTsAuG3,"Commenting in java
",1,Y2PmVkd7F78KX3IkvVdJ,PVz6gnOV9ybm50VoUVOi,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 02:10:15.364000+00:00,2025-09-18 02:09:16.873000+00:00,2025-09-18 02:06:40.164000+00:00,False,,,.,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
iAvksXzjFlWwALbIWFeF29GRYa53,cGcsMP3uTBQWgdiKlOfqfjvZAbY2,ll,3,Y2PmVkd7F78KX3IkvVdJ,zQCKB7N7VnpNXB4yxSvf,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 01:44:56.174000+00:00,2025-09-18 01:44:51.106000+00:00,2025-09-18 01:44:46.611000+00:00,False,,,ll,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
iAvksXzjFlWwALbIWFeF29GRYa53,sir6wK4xJXYOtQxc0vikFYTsAuG3,Returning an array,2,Y2PmVkd7F78KX3IkvVdJ,PVz6gnOV9ybm50VoUVOi,YsT3ZlPtYqwbAgEEKVZ0,resolved,2025-09-18 01:54:09.712000+00:00,2025-09-18 01:45:35.005000+00:00,2025-09-18 01:44:21.214000+00:00,False,,,.,,,2025-09-17 23:00:00+00:00,2025-09-18 03:00:00+00:00
